,search,name
0,/search/ata,antiques
1,/search/ppa,appliances
2,/search/ara,arts & crafts
3,/search/sna,"atvs, utvs, snowmobiles"
4,/search/pta,auto parts
5,/search/wta,auto wheels & tires
6,/search/ava,aviation
7,/search/baa,baby & kid stuff
8,/search/bar,barter
9,/search/bip,bicycle parts
10,/search/bia,bicycles
11,/search/bpa,boat parts & accessories
12,/search/boo,boats
13,/search/bka,books & magazines
14,/search/bfa,business
15,/search/cta,cars & trucks
16,/search/ema,cds / dvds / vhs
17,/search/moa,cell phones
18,/search/cla,clothing & accessories
19,/search/cba,collectibles
20,/search/syp,computer parts
21,/search/sya,computers
22,/search/ela,electronics
23,/search/gra,farm & garden
24,/search/zip,free stuff
25,/search/fua,furniture
26,/search/gms,garage & moving sales
27,/search/foa,general for sale
28,/search/haa,health and beauty
29,/search/hva,heavy equipment
30,/search/hsa,household items
31,/search/jwa,jewelry
32,/search/maa,materials
33,/search/mpa,motorcycle parts & accessories
34,/search/mca,motorcycles/scooters
35,/search/msa,musical instruments
36,/search/pha,photo/video
37,/search/rva,recreational vehicles
38,/search/sga,sporting goods
39,/search/tia,tickets
40,/search/tla,tools
41,/search/taa,toys & games
42,/search/tra,trailers
43,/search/vga,video gaming
44,/search/waa,wanted
