,search,name
0,/search/atd,antiques
1,/search/ppd,appliances
2,/search/ard,arts & crafts
3,/search/snd,"atvs, utvs, snowmobiles"
4,/search/ptd,auto parts
5,/search/wtd,auto wheels & tires
6,/search/avd,aviation
7,/search/bad,baby & kid stuff
8,/search/bdp,bicycle parts
9,/search/bid,bicycles
10,/search/bpd,boat parts & accessories
11,/search/bod,boats
12,/search/bkd,books & magazines
13,/search/bfd,business
14,/search/ctd,cars & trucks
15,/search/emq,cds / dvds / vhs
16,/search/mod,cell phones
17,/search/cld,clothing & accessories
18,/search/cbd,collectibles
19,/search/sdp,computer parts
20,/search/syd,computers
21,/search/eld,electronics
22,/search/grq,farm & garden
23,/search/fud,furniture
24,/search/fod,general for sale
25,/search/had,health and beauty
26,/search/hvd,heavy equipment
27,/search/hsd,household items
28,/search/jwd,jewelry
29,/search/mad,materials
30,/search/mpd,motorcycle parts & accessories
31,/search/mcd,motorcycles/scooters
32,/search/msd,musical instruments
33,/search/phd,photo/video
34,/search/rvd,recreational vehicles
35,/search/sgd,sporting goods
36,/search/tid,tickets
37,/search/tld,tools
38,/search/tad,toys & games
39,/search/trb,trailers
40,/search/vgd,video gaming
41,/search/wad,wanted
