,make,abbr
0,abarth,
1,ac,
2,alfa romeo,
3,alpina,
4,alpine,
5,ariel,
6,ascari,
7,aston martin,
8,audi,
9,bentley,
10,bmw,
11,bristol,
12,bugatti,
13,byton,
14,cadillac,
15,caterham,
16,changan,
17,chevrolet,
18,chrysler,
19,citroen,
20,corvette,
21,cupra,
22,dacia,
23,daihatsu,
24,dallara,
25,david brown,
26,dfsk,
27,dodge,
28,ds,
29,elemental,
30,emgrand,
31,faraday future,
32,ferrari,
33,fiat,
34,fisker,
35,ford,
36,geely,
37,genesis,
38,ginetta,
39,great wall,
40,honda,
41,hummer,
42,hyundai,
43,infiniti,
44,invicta,
45,isuzu,
46,iveco,
47,jaguar,
48,jeep,
49,kahn,
50,kia,
51,kode,
52,ktm,
53,lamborghini,
54,land rover,
55,ldv,
56,lexus,
57,lotus,
58,lykan,
59,lynk & co,
60,mahindra,
61,man,
62,marcos,
63,maserati,
64,maybach,
65,mazda,
66,mclaren,
67,mercedes,
68,mg,
69,mini,
70,mitsubishi,
71,moia,
72,morgan,
73,nio,
74,nissan,
75,noble,
76,perodua,
77,peugeot,
78,polaris,
79,polestar,
80,porsche,
81,proton,
82,qoros,
83,radical,
84,renault,
85,rolls-royce,
86,saab,
87,seat,
88,skoda,
89,smart,
90,srt,
91,ssangyong,
92,subaru,
93,suzuki,
94,tesla,
95,toyota,
96,trident,
97,tvr,
98,vauxhall,
99,volkswagen,
100,volvo,
101,westfield,
102,zenos,
