,search,name
0,/search/atq,antiques
1,/search/app,appliances
2,/search/art,arts & crafts
3,/search/snw,"atvs, utvs, snowmobiles"
4,/search/pts,auto parts
5,/search/wto,auto wheels & tires
6,/search/avo,aviation
7,/search/bab,baby & kid stuff
8,/search/bar,barter
9,/search/bop,bicycle parts
10,/search/bik,bicycles
11,/search/bpo,boat parts & accessories
12,/search/boa,boats
13,/search/bks,books & magazines
14,/search/bfs,business
15,/search/cto,cars & trucks
16,/search/emd,cds / dvds / vhs
17,/search/mob,cell phones
18,/search/clo,clothing & accessories
19,/search/clt,collectibles
20,/search/sop,computer parts
21,/search/sys,computers
22,/search/ele,electronics
23,/search/grd,farm & garden
24,/search/zip,free stuff
25,/search/fuo,furniture
26,/search/gms,garage & moving sales
27,/search/for,general for sale
28,/search/hab,health and beauty
29,/search/hvo,heavy equipment
30,/search/hsh,household items
31,/search/jwl,jewelry
32,/search/mat,materials
33,/search/mpo,motorcycle parts & accessories
34,/search/mcy,motorcycles/scooters
35,/search/msg,musical instruments
36,/search/pho,photo/video
37,/search/rvs,recreational vehicles
38,/search/spo,sporting goods
39,/search/tix,tickets
40,/search/tls,tools
41,/search/tag,toys & games
42,/search/tro,trailers
43,/search/vgm,video gaming
44,/search/wan,wanted
